gen,avg,std,max
0,-12.594980718376906,55.789093761567386,0.625070225013989
1,-0.6765528070740472,4.157251287355808,0.8043735240331211
2,-1.4317922794667397,7.571818514175873,0.6435540310554382
3,0.3112569866298937,0.1977257605827496,0.819712867172799
4,0.43764848048873584,0.2754823469831222,1.2315168675313846
5,0.41690964188677093,0.26732984492200823,1.100849773772316
6,-21.53271602251872,97.015114821628,1.7986429942903908
7,-85.40246270877562,375.16166341006044,1.7986429942903908
8,-0.966723405152028,7.627846247082021,1.7986429942903908
9,-118.05684870398379,357.7935913177909,1.7423028015962883
10,-154.18537355521238,675.2808087365192,1.8175353290577474
