gen,avg,std,max
1,63.751100108951576,23.780951362004508,128.90780691497412
2,67.05506245710019,32.27576035361067,134.01804462971324
3,81.36865849961296,37.63275924663288,141.13326862058983
4,79.21253604228465,36.0620215550178,141.13326862058983
5,97.6609729072853,39.13418297993685,141.13326862058983
6,75.63374383825973,34.49829480450624,141.13326862058983
7,64.99846284364328,31.917601365931905,141.13326862058983
8,81.60443220483964,39.1435400732294,141.13326862058983
9,92.31996544791534,42.31883462480916,141.13326862058983
10,89.44848596951732,48.06431950417267,205.24956718338643
11,92.5597379907954,46.46921635007093,205.24956718338643
12,87.52242215496469,46.40286488384192,205.24956718338643
13,81.83351832743148,44.0000232338264,205.24956718338643
14,96.13413299990083,49.146556067335936,205.24956718338643
15,93.06824773108453,51.300344680334206,205.24956718338643
16,85.48365932493937,44.56454467845069,205.24956718338643
17,83.34733314186902,38.508196184407794,205.24956718338643
18,86.87823114725722,46.079553692646826,205.24956718338643
19,87.32342119902964,43.51373613925216,205.24956718338643
20,84.21009078551326,40.969925603471346,205.24956718338643
21,72.1461362271772,98.91265825334747,205.24956718338643
22,88.74719793314141,44.82885831844976,205.24956718338643
23,67.74467917580034,41.0063038837168,205.24956718338643
24,85.46037031658543,40.56022160759776,205.24956718338643
25,78.63275385859536,40.55991844993817,205.24956718338643
26,90.39695549972501,40.669353064603996,205.24956718338643
27,78.54477412036829,48.005764493722964,205.24956718338643
28,84.99247742562167,47.76923460788613,205.24956718338643
29,80.96083662252997,48.1612083969171,205.24956718338643
30,82.77501950380292,48.55497206504285,205.24956718338643
31,94.24306893487208,44.79896847586846,205.24956718338643
32,89.04112318298844,45.29715698992612,205.24956718338643
33,79.42825800129276,46.95103663098687,205.24956718338643
34,90.73698780222271,47.23224617429304,205.24956718338643
35,86.41957500623113,47.624054780082865,205.24956718338643
36,86.08334999660529,47.49370243963704,205.24956718338643
37,85.1429354161376,43.24919935081882,205.24956718338643
38,91.31052354920747,49.4248754952683,205.24956718338643
39,87.22769533388454,44.454932469266744,205.24956718338643
40,95.81149400436016,44.588883563335756,205.24956718338643
41,82.62399484483404,45.77299186958541,205.24956718338643
42,77.48511828939057,37.269796636100864,205.24956718338643
43,84.33704560864666,47.50281411598764,205.24956718338643
44,94.5421683778202,45.0158967850226,205.24956718338643
45,97.18536545984617,41.04245225706125,205.24956718338643
46,89.14053472968165,49.298326477596774,205.24956718338643
47,93.45749565582712,49.98642500323536,205.24956718338643
48,83.34171075312128,44.76436884291581,205.24956718338643
49,87.37700948254401,44.705186178185286,205.24956718338643
50,89.20465584385099,45.96503670655441,205.24956718338643
